sid,name,addr
183,7-ELEVEN(富比世)(195807),台北市信義區松仁路246號248號1樓
184,7-ELEVEN(松仁)(906564),台北市信義區松仁路213號
185,7-ELEVEN(立仁)(901293),台北市大安區安和路二段74巷1號
186,7-ELEVEN(樂和)(201287),台北市大安區樂利路29號29-1號
187,7-ELEVEN(興貿)(963556),台北市信義區景新里莊敬路178巷2號
188,7-ELEVEN(仁安)(255387),台北市大安區仁愛路四段27巷1號
189,7-ELEVEN(國館)(121770),台北市大安區光復南路240巷25號
190,7-ELEVEN(延吉)(217271),台北市大安區延吉街237號
191,7-ELEVEN(必成)(190330),台北市信義區基隆路一段178號180號1樓
192,7-ELEVEN(信義)(158509),台北市大安區信義路四段265巷12弄1號
195,7-ELEVEN(松高)(993041),台北市信義區基隆路一段141號1樓
197,7-ELEVEN(市運)(214836),台北市信義區忠孝東路5段2號B1樓
198,7-ELEVEN(市捷)(990721),台北市信義區忠孝東路五段6號1樓
200,7-ELEVEN(世貿)(214906),台北市信義區信義路五段5號1樓
201,7-ELEVEN(世貿二)(215013),台北市信義區信義路五段5號2樓
202,7-ELEVEN(臨通)(251798),台北市大安區通安街64號1樓
203,7-ELEVEN(誠安)(167190),台北市大安區敦化南路一段247巷12號1樓
204,7-ELEVEN(阿波羅)(207137),台北市大安區忠孝東路四段222號224號1樓
205,7-ELEVEN(信富)(228673),台北市信義區吳興街156巷63號1樓63之1號1樓
206,7-ELEVEN(惠安)(961000),台北市信義區惠安里吳興街520號1樓
207,7-ELEVEN(敦南)(232454),台北市大安區大安路一段83巷14號1樓
208,7-ELEVEN(建綸)(193384),台北市大安區仁愛路四段151巷33號忠孝東路四段216巷32弄19號21號
209,7-ELEVEN(三興)(149697),台北市信義區吳興街156巷2弄2號4號1樓
210,7-ELEVEN(福湖)(127505),台北市內湖區內湖路一段411巷17號19弄1號
211,7-ELEVEN(堤頂)(254731),台北市內湖區堤頂大道二段411號1樓
212,7-ELEVEN(康葫)(251640),台北市內湖區民權東路六段296巷33號
213,7-ELEVEN(碧綠)(135104),台北市內湖區內湖路三段61號63號樓59巷1號1樓
214,7-ELEVEN(港鑫)(241001),台北市內湖區內湖路一段737巷35號
215,7-ELEVEN(仟發)(240226),台北市大同區民生西路95號97號
216,7-ELEVEN(長中)(185408),台北市中山區中山北路二段40-1號
217,7-ELEVEN(塔城)(214917),台北市大同區長安西路271號1樓及273巷2號1樓
218,7-ELEVEN(大龍)(962542),台北市大同區昌吉街72號74號76號及蘭州街135號
219,7-ELEVEN(仟瑞)(183848),台北市大同區民生西路84號1樓
220,7-ELEVEN(延年)(137052),台北市大同區延平北路三段61-5號
221,7-ELEVEN(曾德)(874388),台北市中山區錦州街21-2號
222,7-ELEVEN(農安)(833468),台北市中山區農安街28-1號1樓28-2號1樓
223,7-ELEVEN(林北)(238681),台北市中山區民生東路一段46號46-1號1樓
224,7-ELEVEN(迪化)(239156),台北市大同區民生西路343號345號
225,7-ELEVEN(錦北)(956732),台北市中山區錦州街8號
226,7-ELEVEN(三德)(254764),台北市大同區承德路三段55號57號1樓
228,7-ELEVEN(林森北)(200963),台北市中山區林森北路380之1號1樓
230,7-ELEVEN(慶寧)(260840),台北市大同區寧夏路23號23之1號
231,7-ELEVEN(圓慶)(977290),台北市大同區南京西路127號
232,7-ELEVEN(靜中)(891176),台北市大同區寧夏路71號73號
233,7-ELEVEN(華經)(956743),台北市內湖區行忠路30號
234,7-ELEVEN(耀港)(896458),台北市南港區研究院路一段99號1樓之14
235,7-ELEVEN(玉成)(202420),台北市南港區西新里南港路三段3號1樓
236,7-ELEVEN(重陽)(209269),台北市南港區重陽路179號181號1樓
237,7-ELEVEN(慈愛)(240916),台北市南港區重陽路164號
238,7-ELEVEN(松德)(230355),台北市松山區八德路四段755號1樓
239,7-ELEVEN(慶林)(264923),台北市信義區虎林街151號153號1樓
241,7-ELEVEN(光東)(930637),台北市信義區忠孝東路五段524巷1弄1號
242,7-ELEVEN(嘉馥)(198389),台北市信義區信義路六段21號23號1樓
243,7-ELEVEN(信福)(216201),台北市信義區福德街308號310巷1號
244,7-ELEVEN(中坡)(140210),台北市南港區中坡南路47號1樓
246,7-ELEVEN(瑞安)(238522),台北市大安區瑞安街182號
247,7-ELEVEN(中廣)(175032),台北市大安區仁愛路三段25-1號27號
248,7-ELEVEN(濟南)(146931),台北市大安區濟南路三段12號1樓
249,7-ELEVEN(統聯)(896067),台北市中正區忠孝東路二段130-2號130-3號
250,7-ELEVEN(喜悅)(186319),台北市大安區復興南路二段82-1及82-2號
251,7-ELEVEN(羅亭)(921965),台北市中正區羅斯福路二段68號
252,7-ELEVEN(和金)(171063),台北市大安區和平東路一段91號
253,7-ELEVEN(中愛)(237220),台北市中正區寧波東街17號1樓
254,7-ELEVEN(合維)(238533),台北市大安區四維路170巷8號1樓
255,7-ELEVEN(森美)(195760),台北市大安區信義路三段65號1樓
256,7-ELEVEN(台大)(266664),台北市中正區林森南路53號55號
257,7-ELEVEN(敦維)(238186),台北市大安區東豐街43號45號1樓
258,7-ELEVEN(豐安)(959122),台北市大安區東豐街9號
259,7-ELEVEN(新廈門)(254845),台北市中正區廈門街46號1樓
260,7-ELEVEN(建南)(895020),台北市大安區建國南路二段151巷6之8號
261,7-ELEVEN(宏旭)(215655),台北市萬華區西園路一段238號1樓2樓
262,7-ELEVEN(昆明)(196039),台北市萬華區昆明街76之1號1樓
263,7-ELEVEN(欣漢華)(214733),台北市中正區中華路一段41號1樓
265,7-ELEVEN(民族西)(264897),台北市大同區民族西路151號153號155號
266,7-ELEVEN(冬樂)(190293),台北市士林區美崙街112號一樓
267,7-ELEVEN(新承德)(140416),台北市士林區承德路四段30號
268,7-ELEVEN(直安)(165183),台北市中山區北安路649號
269,7-ELEVEN(社鑽)(249289),台北市士林區中正路639號1樓
270,7-ELEVEN(葫蘆)(151416),台北市士林區延平北路五段134號
271,7-ELEVEN(大敦)(273189),台北市大安區敦化南路二段63巷7號1樓
272,7-ELEVEN(延華)(155418),台北市大同區延平北路一段89號91號93號1樓
274,7-ELEVEN(詠樂)(239787),台北市大同區迪化街一段13號全棟
275,7-ELEVEN(晶鑽)(240019),台北市中山區中山北路二段39巷8號1樓
276,7-ELEVEN(鑫寧)(217352),台北市大同區民生西路214號216號1樓
277,7-ELEVEN(香城)(262123),台北市南港區南港路一段167號1樓
278,7-ELEVEN(萬隆站)(148683),台北市文山區羅斯福路五段249號1樓
280,7-ELEVEN(邁群)(264277),新北市永和區民生路42號
281,7-ELEVEN(港都)(207425),基隆市中正區義二路8號1樓
282,7-ELEVEN(宇陽)(122980),新北市永和區永利路77號
283,7-ELEVEN(新武嶺)(139313),基隆市安樂區基金一路168之26號
284,7-ELEVEN(漁港)(161295),基隆市中正區中正路672號1樓
285,7-ELEVEN(瑞芳)(112189),新北市瑞芳區明燈路三段52號54號
286,7-ELEVEN(德復)(170255),基隆市中山區復興路193號195號197號1樓
287,7-ELEVEN(愛民)(174350),花蓮縣花蓮市民國路22號1樓
288,7-ELEVEN(欣銓)(260873),宜蘭縣羅東鎮興東路263之1號1樓
289,7-ELEVEN(滬江)(229610),台北市文山區羅斯福路六段270號
290,7-ELEVEN(景華)(199670),台北市文山區興東里景華街130號1樓
291,7-ELEVEN(深坑)(162313),新北市深坑區北深路三段145號
292,7-ELEVEN(埔昇)(963567),新北市深坑區埔新街63號65號1樓
293,7-ELEVEN(鑫庫)(261728),新北市深坑區北深路一段118號120號
294,7-ELEVEN(文儀)(968388),台北市文山區木新路三段54號56號
296,7-ELEVEN(文山)(119711),台北市文山區永安街22巷23號25號1樓
297,7-ELEVEN(正濱)(906553),基隆市中正區豐稔街27號29號
298,7-ELEVEN(仁五)(989086),基隆市仁愛區仁五路63號1樓
299,7-ELEVEN(坤海)(962313),基隆市信義區東明路69號1樓
300,7-ELEVEN(杰昕)(249496),基隆市信義區信二路243號245號
301,7-ELEVEN(萬芳)(885609),台北市文山區萬安街23號25號27號27-1號1樓
302,7-ELEVEN(新安康)(990053),台北市文山區木柵路二段88號90號1樓興隆路四段26號
303,7-ELEVEN(新萬隆)(248770),台北市文山區羅斯福路六段20號22號
304,7-ELEVEN(政大)(253370),台北市文山區指南路二段99號101號
305,7-ELEVEN(安德)(197434),新北市新店區安德街8號10號12號1樓
306,7-ELEVEN(安博)(195896),新北市新店區安民街154號154-1號1樓
307,7-ELEVEN(正原)(179724),新北市中和區中山路二段530號1樓
308,7-ELEVEN(有民)(238876),新北市永和區民有街9號11號1樓
309,7-ELEVEN(日昇)(194011),新北市中和區中和路326號1樓
310,7-ELEVEN(界和)(164009),新北市永和區中和路339號1樓
311,7-ELEVEN(永利)(239765),新北市永和區永元里永元路93號1樓
312,7-ELEVEN(蓮安)(173748),花蓮縣吉安鄉中華路二段5號
313,7-ELEVEN(頭城)(195265),宜蘭縣頭城鎮青雲路三段96號1樓
314,7-ELEVEN(五結)(139209),宜蘭縣五結鄉五結路二段393號395號397號1樓
315,7-ELEVEN(財豐)(263687),基隆市中正區新豐街389號1樓
316,7-ELEVEN(駿隆)(128117),宜蘭縣礁溪鄉中山路一段175號1樓
317,7-ELEVEN(省宜)(189628),宜蘭縣宜蘭市新民路159號161號1樓
318,7-ELEVEN(家燕)(240259),宜蘭縣頭城鎮青雲路二段230號1樓
319,7-ELEVEN(湯圍)(981392),宜蘭縣礁溪鄉礁溪路五段51號
320,7-ELEVEN(鄉長)(240972),新北市汐止區鄉長路二段16號
321,7-ELEVEN(明園)(173575),新北市汐止區汐萬路二段62巷1號1樓
322,7-ELEVEN(聖昌)(250751),宜蘭縣羅東鎮站前南路260號262號1樓
323,7-ELEVEN(精舍)(138941),花蓮縣新城鄉康樂村康樂路286號288號
324,7-ELEVEN(蘇濱)(231222),宜蘭縣蘇澳鎮蘇濱路三段61號63號65號
325,7-ELEVEN(和錦)(113609),新北市中和區錦和路402號404號1樓
326,7-ELEVEN(春吉)(164858),新北市中和區建一路148號1樓
327,7-ELEVEN(員和)(194402),新北市中和區員山路118號120號1樓
328,7-ELEVEN(泰隆)(252861),新北市中和區立德街102號
329,7-ELEVEN(連城)(198884),新北市中和區連城路89巷3之1號5之1號1樓
330,7-ELEVEN(景旺)(238245),新北市中和區成功路1號
331,7-ELEVEN(景鑽)(239134),新北市中和區景新街373號373之1號
332,7-ELEVEN(華欣)(253532),新北市中和區華新街109巷1之2號1樓
333,7-ELEVEN(福勝)(951313),新北市中和區福祥路156號158號
334,7-ELEVEN(廣麗)(188267),新北市中和區廣福路87號89號91號1樓
335,7-ELEVEN(美河)(250740),新北市新店區三民路35巷2號
337,7-ELEVEN(溫州)(121356),台北市大安區羅斯福路三段245號
338,7-ELEVEN(佳怡)(890999),宜蘭縣員山鄉員山路一段186號
339,7-ELEVEN(新和慶)(263517),基隆市安樂區中和路166之5號166之6號1樓
340,7-ELEVEN(福百)(896447),新北市汐止區福德一路161號163號1樓
341,7-ELEVEN(汐湖)(142331),新北市汐止區康寧街141巷49號51號1樓
342,7-ELEVEN(福二)(210535),基隆市七堵區福二街157號1樓
343,7-ELEVEN(旭泰)(250429),新北市汐止區建成路57巷1號3號
344,7-ELEVEN(康湖)(239503),新北市汐止區康寧街482-8號488號490號
345,7-ELEVEN(橋東)(261212),新北市汐止區建成路31號33號1樓
346,7-ELEVEN(新樟樹)(996235),新北市汐止區樟樹二路255號
347,7-ELEVEN(橫科)(206938),新北市汐止區民權街二段28號1樓
348,7-ELEVEN(建陽)(136163),新北市汐止區福德一路452號1樓
349,7-ELEVEN(福安)(265100),新北市汐止區仁愛路178號180號1樓
350,7-ELEVEN(捷興)(135056),新北市中和區興南路一段81號
351,7-ELEVEN(中和)(228020),新北市中和區橋和路9號1樓
352,7-ELEVEN(內成)(184117),宜蘭縣員山鄉員山路二段264號1樓
353,7-ELEVEN(上義)(209960),宜蘭縣三星鄉上將路三段559號
354,7-ELEVEN(羅高)(120456),宜蘭縣羅東鎮公正路357號359號
355,7-ELEVEN(集翔)(128106),宜蘭縣羅東鎮集翔里中正路147號
356,7-ELEVEN(蘇中)(997537),宜蘭縣蘇澳鎮中山路一段263號
357,7-ELEVEN(冬山)(931928),宜蘭縣冬山鄉冬山路一段984號
358,7-ELEVEN(如意)(959177),花蓮縣花蓮市中美路37號
359,7-ELEVEN(蓮恆)(151276),花蓮縣吉安鄉北昌村建國路一段49號51號
360,7-ELEVEN(寶中)(958901),新北市新店區寶慶街66號
361,7-ELEVEN(碧潭)(250393),新北市新店區北宜路一段28號
362,7-ELEVEN(寶興)(228226),新北市新店區寶橋路88號1樓
363,7-ELEVEN(文新)(199290),台北市文山區木新路三段276號
364,7-ELEVEN(新贊)(185947),新北市新店區北新路一段14號1樓
365,7-ELEVEN(新順安)(155566),新北市新店區順安街51號53號1樓
366,7-ELEVEN(玫瑰)(255158),新北市新店區玫瑰路58巷4號地下室
367,7-ELEVEN(新寶橋)(266653),新北市新店區寶橋路192號
368,7-ELEVEN(德正)(976932),新北市新店區德正街23巷1號
369,7-ELEVEN(能仁)(229322),新北市新店區光明街38號
370,7-ELEVEN(安城)(159339),新北市新店區安康路一段283號
371,7-ELEVEN(二十張)(144360),新北市新店區二十張路5號1樓
372,7-ELEVEN(永騰)(193742),新北市永和區信義路7號1樓
373,7-ELEVEN(環永)(240466),新北市永和區環河西路二段231號233號1樓
374,7-ELEVEN(環河東)(252838),新北市永和區環河東路四段22號
375,7-ELEVEN(北福)(263012),新北市永和區福和路121號1樓2樓
376,7-ELEVEN(永藝)(238496),新北市永和區永和路二段272號274號1樓
377,7-ELEVEN(園和)(211169),新北市永和區仁愛路267號269號
378,7-ELEVEN(新永愛)(229757),新北市永和區永平路314號316號1樓
379,7-ELEVEN(忠信)(118785),新北市永和區中興街97號99號101號
381,7-ELEVEN(大正)(166164),新北市永和區中正路559號561號1樓
382,7-ELEVEN(孟揚)(872061),新北市永和區林森路62號
383,7-ELEVEN(麗金)(992598),新北市永和區成功路一段85號1樓
384,7-ELEVEN(瑞發)(893895),宜蘭縣礁溪鄉德陽路65號
385,7-ELEVEN(橋安)(251880),新北市中和區橋安街20號1樓
386,7-ELEVEN(益彰)(852230),新北市八里區中山路二段409號411號
387,7-ELEVEN(霖口)(252333),新北市林口區中山路250號250之3號1樓
388,7-ELEVEN(太陽城)(133108),新北市土城區中央路四段281之8號281之9號
389,7-ELEVEN(股興)(174419),新北市五股區中興路一段3號、3-1號
391,7-ELEVEN(泰陽)(120722),新北市泰山區新北大道六段468號470號
392,7-ELEVEN(麗興)(166072),新北市林口區麗園一街11巷1號1樓之2
393,7-ELEVEN(公園賞)(262581),新北市泰山區仁愛路66號
394,7-ELEVEN(未來)(164892),新北市林口區文化二路一段571號1樓2樓
395,7-ELEVEN(樹安)(992576),新北市樹林區大安路530號1樓
396,7-ELEVEN(珈多)(254100),新北市泰山區台麗街5號7號9號1樓
397,7-ELEVEN(登揚)(196648),新北市五股區登林路96號
398,7-ELEVEN(幸福市)(135573),新北市林口區文化三路二段302號1樓
399,7-ELEVEN(林旺)(228983),新北市林口區仁愛路二段196號1樓
400,7-ELEVEN(新樹工)(164917),新北市樹林區保安街二段6號
401,7-ELEVEN(樹龍)(199614),新北市樹林區中正路222號1樓
402,7-ELEVEN(榮曜)(209649),新北市林口區文化三路二段156.158號
